customer_id,tenure,monthly_charges,total_charges,contract_type,internet_service,payment_method,support_calls,number_of_logins,usage_hours,churn
CUST-00033,6,921.45,5724.34,Month-to-Month,DSL,Electronic Check,3,19.0,142.0,1
CUST-00034,40,314.83,12615.97,Month-to-Month,DSL,Bank Transfer,7,20.0,98.6,0
CUST-00035,64,1162.28,74552.74,Month-to-Month,DSL,Mailed Check,1,44.0,15.6,0
CUST-00036,4,827.04,3788.93,Two Year,Fiber Optic,Mailed Check,1,30.0,199.8,0
CUST-00037,62,1003.32,62459.59,Month-to-Month,Fiber Optic,Mailed Check,7,1.0,3.1,1
CUST-00038,60,639.55,38784.32,Month-to-Month,DSL,Mailed Check,2,47.0,99.1,0
CUST-00039,20,311.16,6287.83,Two Year,Fiber Optic,Credit Card,0,31.0,73.4,0
CUST-00040,46,758.76,35037.0,One Year,Fiber Optic,Mailed Check,8,42.0,155.2,0
CUST-00041,12,756.47,9550.91,Month-to-Month,No,Bank Transfer,7,47.0,147.2,0
CUST-00042,55,693.29,38322.73,One Year,DSL,Electronic Check,10,26.0,125.6,1
CUST-00043,51,605.75,31217.45,Month-to-Month,DSL,Credit Card,6,9.0,14.9,0
CUST-00044,25,524.84,13609.06,Month-to-Month,DSL,Credit Card,5,22.0,47.4,0
CUST-00045,4,774.79,3374.55,Month-to-Month,Fiber Optic,Electronic Check,7,35.0,18.8,1
CUST-00046,70,637.75,44795.17,One Year,DSL,Bank Transfer,8,1.0,195.8,0
CUST-00047,32,1172.94,37800.05,One Year,DSL,Bank Transfer,6,48.0,25.6,1
CUST-00048,65,455.63,29643.27,Month-to-Month,Fiber Optic,Electronic Check,3,17.0,193.4,0
CUST-00049,49,587.7,28853.48,Month-to-Month,Fiber Optic,Credit Card,9,33.0,22.5,1
CUST-00050,56,564.56,31618.95,Month-to-Month,DSL,Credit Card,7,50.0,172.4,0
CUST-00051,55,788.98,43836.01,Month-to-Month,DSL,Credit Card,9,44.0,114.9,1
CUST-00052,14,749.35,10826.54,Month-to-Month,DSL,Bank Transfer,6,37.0,166.3,1
CUST-00053,26,879.37,23012.78,One Year,DSL,Bank Transfer,4,15.0,126.8,0
CUST-00054,34,1155.0,39380.58,Month-to-Month,Fiber Optic,Bank Transfer,9,26.0,153.8,1
CUST-00055,36,556.7,20382.74,Two Year,DSL,Credit Card,6,25.0,146.2,0
CUST-00056,3,923.49,3230.24,Month-to-Month,DSL,Bank Transfer,8,43.0,52.0,1
CUST-00057,39,322.54,12728.63,Month-to-Month,No,Bank Transfer,9,,187.0,0
CUST-00058,11,536.15,6058.43,Month-to-Month,No,Electronic Check,3,1.0,128.7,1
CUST-00059,54,717.35,39164.02,One Year,DSL,Bank Transfer,2,6.0,40.4,0
CUST-00060,49,327.9,16513.79,Month-to-Month,Fiber Optic,Electronic Check,1,48.0,61.2,0
CUST-00061,67,855.9,57802.32,Month-to-Month,DSL,Mailed Check,6,27.0,106.6,0
CUST-00062,54,910.48,49312.5,Month-to-Month,Fiber Optic,Credit Card,8,35.0,176.4,1
CUST-00063,26,972.06,25333.72,One Year,No,Electronic Check,10,4.0,159.4,1
CUST-00064,70,764.92,53764.4,Two Year,Fiber Optic,Credit Card,0,0.0,60.4,0
CUST-00065,29,843.55,24610.83,Month-to-Month,Fiber Optic,Mailed Check,0,33.0,137.7,0
CUST-00066,23,656.46,15540.51,Month-to-Month,DSL,Credit Card,7,35.0,0.3,0
CUST-00067,66,337.13,22268.9,Month-to-Month,DSL,Credit Card,2,21.0,66.5,0
CUST-00068,27,389.96,10845.86,Month-to-Month,Fiber Optic,Electronic Check,5,4.0,167.9,0
CUST-00069,5,889.5,4900.59,Two Year,DSL,Electronic Check,0,24.0,30.2,0
CUST-00070,34,1196.0,41152.34,Month-to-Month,Fiber Optic,Credit Card,0,32.0,70.7,0
CUST-00071,58,314.22,18549.83,One Year,Fiber Optic,Mailed Check,5,10.0,0.2,0
CUST-00072,13,801.83,10898.75,Two Year,DSL,Mailed Check,7,15.0,4.6,0
CUST-00073,33,975.91,32242.86,One Year,Fiber Optic,Electronic Check,9,38.0,29.2,1
CUST-00074,9,1044.1,9576.54,Month-to-Month,Fiber Optic,Bank Transfer,5,10.0,20.4,1
CUST-00075,50,790.68,39538.36,One Year,Fiber Optic,Electronic Check,7,5.0,97.9,0
CUST-00076,34,857.92,29659.87,Month-to-Month,Fiber Optic,Mailed Check,9,32.0,180.0,1
CUST-00077,24,927.05,22700.56,Month-to-Month,Fiber Optic,Mailed Check,4,1.0,16.9,1
CUST-00078,16,1073.07,17183.15,Two Year,DSL,Credit Card,2,22.0,174.0,0
CUST-00079,41,410.06,16821.53,Month-to-Month,Fiber Optic,Mailed Check,9,29.0,133.6,0
CUST-00080,48,1133.56,54594.36,Month-to-Month,Fiber Optic,Credit Card,0,3.0,33.8,0
CUST-00081,68,323.42,22121.83,Month-to-Month,DSL,Bank Transfer,3,33.0,57.9,0
CUST-00082,31,1052.58,33053.45,Month-to-Month,No,Mailed Check,1,41.0,38.8,1
CUST-00083,11,369.07,4140.01,One Year,Fiber Optic,Electronic Check,7,49.0,157.9,0
CUST-00084,60,475.17,28905.52,One Year,DSL,Credit Card,2,13.0,145.0,0
CUST-00085,45,303.5,13934.73,One Year,DSL,Mailed Check,3,16.0,60.9,0
CUST-00086,51,700.73,35925.93,Month-to-Month,No,Bank Transfer,7,31.0,10.9,0
CUST-00087,7,600.92,4279.3,Month-to-Month,No,Mailed Check,3,30.0,33.7,1
CUST-00088,22,449.39,10385.43,Month-to-Month,DSL,Mailed Check,3,31.0,126.0,0
CUST-00089,56,705.98,39843.87,Month-to-Month,Fiber Optic,Bank Transfer,5,,18.1,0
CUST-00090,60,662.13,39947.49,One Year,DSL,Mailed Check,1,2.0,107.3,0
CUST-00091,31,990.89,30903.15,One Year,Fiber Optic,Credit Card,10,1.0,122.6,1
CUST-00092,58,1103.82,64474.42,Two Year,Fiber Optic,Bank Transfer,10,50.0,137.6,0
CUST-00093,61,887.31,,One Year,DSL,Credit Card,7,20.0,25.1,0
CUST-00094,28,411.97,11940.75,Month-to-Month,Fiber Optic,Mailed Check,1,22.0,91.9,0
CUST-00095,65,565.85,37088.35,One Year,No,Electronic Check,5,,92.7,0
CUST-00096,21,1121.99,24005.77,One Year,DSL,Electronic Check,3,10.0,167.1,0
CUST-00097,17,379.86,6607.26,Two Year,DSL,Credit Card,1,19.0,93.7,0
CUST-00098,49,666.17,32994.18,Month-to-Month,No,Credit Card,9,22.0,81.4,0
CUST-00099,46,1148.25,53021.72,One Year,DSL,Bank Transfer,4,4.0,24.7,0
CUST-00100,10,1155.6,11856.0,Month-to-Month,Fiber Optic,Bank Transfer,7,30.0,138.9,0
CUST-00101,60,670.08,40703.88,One Year,Fiber Optic,Electronic Check,7,9.0,124.0,0
CUST-00102,14,900.66,13101.5,Two Year,DSL,Credit Card,3,0.0,143.4,0
CUST-00103,58,711.07,41498.37,Two Year,DSL,Bank Transfer,3,31.0,131.3,1
CUST-00104,0,978.11,286.93,Month-to-Month,DSL,Bank Transfer,10,15.0,175.1,1
CUST-00105,58,328.42,19497.02,Month-to-Month,DSL,Electronic Check,9,36.0,175.5,0
CUST-00106,57,429.74,24988.0,One Year,Fiber Optic,Bank Transfer,5,27.0,61.5,0
CUST-00107,56,852.78,48144.98,One Year,Fiber Optic,Bank Transfer,5,1.0,36.5,0
CUST-00108,48,509.3,24478.99,Two Year,DSL,Credit Card,0,35.0,185.3,0
CUST-00109,34,899.45,30742.62,Month-to-Month,Fiber Optic,Electronic Check,2,2.0,142.6,1
CUST-00110,51,616.1,31869.38,One Year,Fiber Optic,Electronic Check,0,15.0,194.2,0
CUST-00111,20,1097.98,22343.78,One Year,DSL,Credit Card,8,,99.4,1
CUST-00112,56,1037.33,58461.6,Month-to-Month,Fiber Optic,Mailed Check,10,20.0,192.4,0
CUST-00113,40,743.55,30075.96,Month-to-Month,DSL,Mailed Check,1,19.0,24.5,1
CUST-00114,33,995.61,33062.76,One Year,Fiber Optic,Bank Transfer,3,11.0,118.1,0
CUST-00115,36,544.02,19786.34,Month-to-Month,DSL,Mailed Check,3,22.0,99.3,1
CUST-00116,41,744.83,30942.5,One Year,Fiber Optic,Credit Card,8,14.0,0.5,0
CUST-00117,2,477.73,1102.35,One Year,No,Credit Card,4,48.0,38.6,1
CUST-00118,10,1074.8,11090.42,Month-to-Month,DSL,Mailed Check,0,35.0,30.7,1
CUST-00119,17,1040.76,18056.02,Month-to-Month,No,Electronic Check,6,46.0,12.2,1
CUST-00120,8,1111.93,9317.72,Two Year,DSL,Credit Card,1,17.0,189.6,1
CUST-00121,32,1089.73,35031.3,One Year,DSL,Bank Transfer,7,48.0,193.1,0
CUST-00122,48,1163.64,56225.66,One Year,DSL,Credit Card,9,14.0,178.3,1
CUST-00123,47,505.5,23811.74,One Year,Fiber Optic,Mailed Check,0,15.0,197.8,1
CUST-00124,34,1138.64,38782.79,One Year,Fiber Optic,Mailed Check,10,15.0,166.1,0
CUST-00125,62,814.09,50682.25,Two Year,No,Electronic Check,7,,186.4,1
CUST-00126,41,680.25,27917.86,One Year,Fiber Optic,Mailed Check,0,31.0,39.5,0
CUST-00127,5,804.34,4495.55,Month-to-Month,Fiber Optic,Bank Transfer,2,3.0,51.4,1
CUST-00128,55,608.34,33909.65,Month-to-Month,No,Electronic Check,1,28.0,172.4,0
CUST-00129,41,559.7,22972.17,Month-to-Month,No,Bank Transfer,9,48.0,95.9,0
CUST-00130,46,517.18,24209.44,One Year,Fiber Optic,Bank Transfer,7,20.0,143.4,0
CUST-00131,41,374.19,15596.23,Month-to-Month,Fiber Optic,Credit Card,4,35.0,112.4,0
CUST-00132,40,746.91,30227.38,One Year,Fiber Optic,Electronic Check,5,32.0,61.1,0
CUST-00133,6,1098.99,7037.41,Two Year,DSL,Electronic Check,3,49.0,57.0,0
CUST-00134,40,867.14,34974.09,Month-to-Month,No,Mailed Check,4,32.0,149.6,1
CUST-00135,58,768.88,44653.2,Month-to-Month,No,Credit Card,7,24.0,106.4,1
CUST-00136,22,685.73,15087.35,One Year,Fiber Optic,Electronic Check,2,0.0,71.9,0
CUST-00137,44,717.96,31838.7,Month-to-Month,DSL,Credit Card,8,41.0,123.4,0
CUST-00138,2,488.35,1451.32,One Year,DSL,Credit Card,10,17.0,84.0,1
CUST-00139,25,1040.64,26302.31,Month-to-Month,No,Electronic Check,10,47.0,95.0,1
CUST-00140,31,478.54,15021.21,Month-to-Month,No,Mailed Check,1,12.0,135.6,0
CUST-00141,71,944.96,67107.62,One Year,Fiber Optic,Mailed Check,4,22.0,91.6,0
CUST-00142,15,983.99,15217.34,Month-to-Month,No,Mailed Check,2,42.0,190.0,0
CUST-00143,20,817.38,16511.18,Month-to-Month,Fiber Optic,Credit Card,6,7.0,97.0,1
CUST-00144,29,1076.63,31574.66,Month-to-Month,No,Mailed Check,3,14.0,192.4,0
CUST-00145,72,561.95,40807.52,Month-to-Month,DSL,Bank Transfer,4,40.0,169.5,0
CUST-00146,62,1093.46,67921.46,Two Year,DSL,Electronic Check,1,16.0,178.2,0
CUST-00147,2,956.47,1944.83,Month-to-Month,Fiber Optic,Bank Transfer,6,48.0,152.7,0
CUST-00148,17,1018.87,17513.29,Month-to-Month,DSL,Mailed Check,5,27.0,120.9,1
CUST-00149,59,898.12,53147.65,Month-to-Month,Fiber Optic,Credit Card,6,42.0,106.5,0
CUST-00150,4,1061.71,4596.97,Month-to-Month,Fiber Optic,Credit Card,3,27.0,110.3,1
CUST-00151,62,1193.79,74424.87,Month-to-Month,DSL,Electronic Check,8,2.0,40.3,1
CUST-00152,20,678.15,13674.22,One Year,Fiber Optic,Bank Transfer,6,41.0,42.9,1
CUST-00153,66,1032.52,68410.44,Month-to-Month,DSL,Mailed Check,1,21.0,6.8,0
CUST-00154,21,970.12,20392.82,One Year,Fiber Optic,Mailed Check,4,19.0,149.1,1
CUST-00155,31,707.58,22042.11,Month-to-Month,DSL,Mailed Check,7,37.0,25.0,1
CUST-00156,48,1134.25,54824.88,Month-to-Month,Fiber Optic,Credit Card,1,14.0,116.4,1
CUST-00157,9,654.98,6291.52,Month-to-Month,Fiber Optic,Mailed Check,3,21.0,27.6,1
CUST-00158,40,808.92,32745.0,One Year,DSL,Electronic Check,9,31.0,13.3,1
CUST-00159,36,395.35,14303.79,Two Year,DSL,Electronic Check,4,30.0,106.7,0
CUST-00160,57,503.2,28957.92,Month-to-Month,DSL,Credit Card,5,37.0,174.6,0
CUST-00161,72,1056.63,76288.71,Two Year,DSL,Mailed Check,7,4.0,71.2,0
CUST-00162,48,656.9,32026.94,Month-to-Month,DSL,Electronic Check,3,50.0,183.8,0
CUST-00163,29,654.68,19312.75,One Year,DSL,Mailed Check,9,31.0,2.1,1
CUST-00164,29,521.38,,One Year,Fiber Optic,Credit Card,0,31.0,93.1,0
CUST-00165,30,742.45,22346.18,Month-to-Month,DSL,Credit Card,5,45.0,29.4,1
CUST-00166,59,1025.24,60714.6,Month-to-Month,DSL,Credit Card,6,25.0,63.2,1
CUST-00167,23,1105.65,25815.75,Month-to-Month,DSL,Bank Transfer,2,1.0,4.7,0
CUST-00168,12,363.1,4541.13,One Year,Fiber Optic,Credit Card,8,6.0,7.1,1
CUST-00169,24,817.34,19932.41,Month-to-Month,Fiber Optic,Credit Card,0,48.0,142.6,0
CUST-00170,1,720.55,976.4,Two Year,Fiber Optic,Electronic Check,7,50.0,130.9,0
CUST-00171,7,852.85,6465.91,Month-to-Month,Fiber Optic,Mailed Check,6,4.0,41.7,1
CUST-00172,6,702.55,4302.24,Two Year,Fiber Optic,Bank Transfer,8,34.0,180.2,0
CUST-00173,56,658.78,37359.35,Month-to-Month,DSL,Mailed Check,2,33.0,137.6,0
CUST-00174,52,724.69,37884.67,One Year,DSL,Credit Card,1,8.0,67.2,0
CUST-00175,50,823.8,41424.0,Month-to-Month,Fiber Optic,Credit Card,6,40.0,81.5,0
CUST-00176,33,750.88,25043.34,Month-to-Month,DSL,Bank Transfer,10,23.0,58.5,1
CUST-00177,52,724.93,37829.04,Month-to-Month,Fiber Optic,Electronic Check,8,11.0,166.1,0
CUST-00178,11,1036.05,11878.38,One Year,Fiber Optic,Mailed Check,2,28.0,98.8,1
CUST-00179,65,971.08,63575.94,Month-to-Month,Fiber Optic,Electronic Check,4,46.0,27.1,0
CUST-00180,36,607.24,22347.09,One Year,Fiber Optic,Mailed Check,2,11.0,40.3,0
CUST-00181,68,1020.52,69893.82,Two Year,No,Electronic Check,8,31.0,59.3,0
CUST-00182,11,1068.29,12086.09,Month-to-Month,Fiber Optic,Electronic Check,5,37.0,80.6,1
CUST-00183,36,438.14,15998.88,Month-to-Month,Fiber Optic,Electronic Check,4,31.0,118.5,0
CUST-00184,50,824.41,41645.87,Month-to-Month,No,Mailed Check,0,33.0,192.8,0
CUST-00185,36,556.78,20055.98,Month-to-Month,Fiber Optic,Electronic Check,6,37.0,52.4,0
CUST-00186,32,965.26,,Month-to-Month,Fiber Optic,Electronic Check,4,11.0,65.7,0
CUST-00187,12,514.91,6427.56,One Year,DSL,Mailed Check,0,5.0,4.8,0
CUST-00188,27,904.26,24751.63,Month-to-Month,DSL,Bank Transfer,2,50.0,74.5,0
CUST-00189,17,529.61,9190.39,Month-to-Month,Fiber Optic,Bank Transfer,7,16.0,135.0,1
CUST-00190,22,760.03,16904.97,One Year,DSL,Mailed Check,8,48.0,192.6,0
CUST-00191,49,1153.78,56551.08,Month-to-Month,DSL,Bank Transfer,5,13.0,148.0,1
CUST-00192,46,643.18,29798.17,One Year,DSL,Electronic Check,8,13.0,23.6,1
CUST-00193,44,1088.16,48083.22,Two Year,No,Bank Transfer,8,1.0,178.0,0
CUST-00194,26,1188.25,31006.9,Month-to-Month,Fiber Optic,Electronic Check,6,22.0,167.7,1
CUST-00195,70,1087.37,76239.56,Month-to-Month,Fiber Optic,Electronic Check,2,48.0,37.8,1
CUST-00196,6,449.28,2987.75,One Year,No,Credit Card,4,45.0,186.9,0
CUST-00197,25,1037.69,26101.14,One Year,DSL,Mailed Check,8,15.0,142.8,0
CUST-00198,8,328.93,3046.57,One Year,Fiber Optic,Bank Transfer,3,20.0,156.6,0
CUST-00199,24,653.97,15750.97,One Year,Fiber Optic,Mailed Check,7,34.0,91.8,0
CUST-00200,70,1083.66,76145.02,Month-to-Month,Fiber Optic,Bank Transfer,9,48.0,40.1,1
CUST-00201,26,919.88,23996.9,Month-to-Month,Fiber Optic,Bank Transfer,5,30.0,159.8,1
CUST-00202,66,779.47,51709.14,One Year,No,Credit Card,5,10.0,95.5,0
CUST-00203,36,649.08,23643.15,One Year,DSL,Electronic Check,2,18.0,193.5,0
CUST-00204,51,1031.07,52905.72,One Year,DSL,Bank Transfer,5,36.0,30.7,0
CUST-00205,33,938.6,31187.51,Month-to-Month,Fiber Optic,Credit Card,0,1.0,71.1,0
CUST-00206,19,721.56,13964.38,One Year,Fiber Optic,Mailed Check,1,30.0,,0
CUST-00207,55,1103.24,60768.68,Month-to-Month,Fiber Optic,Mailed Check,5,39.0,114.5,0
CUST-00208,70,506.95,35718.01,Month-to-Month,DSL,Bank Transfer,2,17.0,86.7,0
CUST-00209,19,453.35,8800.17,Month-to-Month,Fiber Optic,Bank Transfer,3,27.0,140.3,0
CUST-00210,56,878.52,49530.19,Month-to-Month,Fiber Optic,Mailed Check,3,36.0,146.7,0
CUST-00211,19,1174.79,22538.42,One Year,No,Credit Card,5,30.0,115.5,1
CUST-00212,52,522.53,27561.23,Month-to-Month,Fiber Optic,Bank Transfer,7,1.0,63.8,0
CUST-00213,57,524.7,30120.9,One Year,No,Bank Transfer,4,29.0,,0
CUST-00214,32,425.55,13735.49,Month-to-Month,Fiber Optic,Electronic Check,9,11.0,109.0,0
CUST-00215,53,1074.51,57085.87,Month-to-Month,Fiber Optic,Bank Transfer,5,37.0,159.5,1
CUST-00216,19,503.76,9594.08,Month-to-Month,Fiber Optic,Credit Card,10,13.0,130.7,1
CUST-00217,5,752.86,4034.26,Month-to-Month,Fiber Optic,Bank Transfer,10,49.0,99.4,1
CUST-00218,7,1191.79,8757.97,One Year,Fiber Optic,Bank Transfer,4,5.0,3.7,1
CUST-00219,32,310.93,10334.32,Month-to-Month,DSL,Bank Transfer,8,45.0,33.4,0
CUST-00220,65,800.84,52273.49,Month-to-Month,DSL,Electronic Check,4,1.0,67.3,0
CUST-00221,9,761.06,6947.6,Month-to-Month,Fiber Optic,Electronic Check,9,34.0,120.3,1
CUST-00222,33,1026.7,34312.84,Month-to-Month,DSL,Bank Transfer,8,18.0,158.5,1
CUST-00223,51,619.75,31635.64,Month-to-Month,Fiber Optic,Electronic Check,3,9.0,192.0,0
CUST-00224,14,669.31,9569.95,Two Year,DSL,Electronic Check,3,11.0,120.0,0
CUST-00225,52,451.14,23887.59,Month-to-Month,DSL,Credit Card,9,1.0,145.8,1
CUST-00226,22,966.73,21464.65,Month-to-Month,Fiber Optic,Mailed Check,5,6.0,124.3,0
CUST-00227,59,1006.24,59427.1,Two Year,DSL,Credit Card,7,19.0,86.1,0
CUST-00228,42,423.0,17898.97,One Year,No,Credit Card,7,8.0,121.9,0
CUST-00229,39,654.11,25810.3,Month-to-Month,No,Electronic Check,1,49.0,80.1,0
CUST-00230,12,1103.61,13319.34,One Year,Fiber Optic,Credit Card,2,42.0,90.7,1
CUST-00231,33,302.44,10307.99,Two Year,Fiber Optic,Mailed Check,9,,182.2,0
CUST-00232,62,568.88,35489.64,Month-to-Month,DSL,Bank Transfer,3,4.0,112.8,0
CUST-00233,1,799.54,966.73,Month-to-Month,Fiber Optic,Electronic Check,9,50.0,,1
CUST-00234,55,600.68,33157.86,Two Year,DSL,Mailed Check,3,36.0,104.8,0
CUST-00235,35,544.84,19481.06,One Year,No,Bank Transfer,9,9.0,190.7,0
CUST-00236,52,714.03,37327.9,Two Year,No,Mailed Check,6,2.0,20.0,0
CUST-00237,48,463.37,22611.0,Month-to-Month,DSL,Bank Transfer,1,31.0,194.2,0
CUST-00238,31,776.66,24296.64,Two Year,Fiber Optic,Electronic Check,2,2.0,197.5,0
CUST-00239,22,936.03,20638.59,Month-to-Month,Fiber Optic,Electronic Check,10,31.0,112.1,1
CUST-00240,45,817.77,37019.9,One Year,Fiber Optic,Bank Transfer,2,22.0,66.5,0
CUST-00241,10,383.8,4091.84,Two Year,DSL,Mailed Check,2,44.0,1.7,0
CUST-00242,42,1059.97,44747.66,Month-to-Month,Fiber Optic,Bank Transfer,1,19.0,3.1,0
CUST-00243,6,457.48,3153.0,Month-to-Month,DSL,Mailed Check,6,22.0,77.6,0
CUST-00244,47,988.33,46906.94,One Year,No,Electronic Check,8,27.0,,0
CUST-00245,45,624.51,28496.34,One Year,Fiber Optic,Bank Transfer,10,50.0,188.5,0
CUST-00246,6,1004.49,6318.33,Month-to-Month,Fiber Optic,Electronic Check,9,35.0,31.0,1
CUST-00247,55,485.65,26981.47,Two Year,No,Credit Card,9,34.0,97.6,0
CUST-00248,30,468.0,14362.31,Month-to-Month,Fiber Optic,Electronic Check,9,15.0,100.3,1
CUST-00249,57,747.32,42741.16,Month-to-Month,Fiber Optic,Credit Card,6,24.0,76.1,0
CUST-00250,3,329.64,1394.84,Month-to-Month,Fiber Optic,Mailed Check,9,9.0,108.0,1
CUST-00251,13,502.77,6964.43,Two Year,Fiber Optic,Credit Card,6,19.0,185.0,1
CUST-00252,36,951.61,34391.57,Month-to-Month,DSL,Electronic Check,1,41.0,87.7,0
CUST-00253,13,1053.65,14148.86,One Year,No,Mailed Check,0,5.0,27.6,0
CUST-00254,24,372.71,9369.41,Month-to-Month,DSL,Mailed Check,1,8.0,133.1,0
CUST-00255,48,1093.87,52718.0,Two Year,Fiber Optic,Electronic Check,3,29.0,6.3,0
CUST-00256,10,1017.77,10632.2,One Year,Fiber Optic,Mailed Check,5,40.0,188.0,1
CUST-00257,49,1082.72,53113.5,Month-to-Month,DSL,Electronic Check,7,49.0,188.0,0
CUST-00258,7,928.59,6514.12,Month-to-Month,No,Mailed Check,5,29.0,18.4,1
CUST-00259,12,906.74,11054.81,Month-to-Month,DSL,Mailed Check,4,33.0,110.2,1
CUST-00260,42,772.58,32731.08,Month-to-Month,DSL,Electronic Check,8,14.0,159.5,0
CUST-00261,57,887.51,50763.79,One Year,Fiber Optic,Credit Card,9,20.0,92.9,0
CUST-00262,12,1127.2,13997.43,One Year,Fiber Optic,Bank Transfer,2,16.0,95.8,0
CUST-00263,21,390.47,8327.23,Month-to-Month,No,Credit Card,2,5.0,194.0,1
CUST-00264,67,584.19,39281.34,One Year,Fiber Optic,Credit Card,10,18.0,46.1,0
CUST-00265,72,365.21,26612.53,Month-to-Month,DSL,Mailed Check,10,11.0,105.3,1
CUST-00266,42,1150.32,48315.37,Month-to-Month,DSL,Mailed Check,3,30.0,23.0,0
CUST-00267,32,700.74,22787.46,Month-to-Month,DSL,Credit Card,5,38.0,60.5,1
CUST-00268,25,907.81,22883.98,Month-to-Month,Fiber Optic,Mailed Check,6,49.0,170.2,1
CUST-00269,44,1057.01,46997.31,One Year,DSL,Electronic Check,6,44.0,143.3,0
CUST-00270,43,1191.9,51597.41,Month-to-Month,Fiber Optic,Bank Transfer,9,16.0,122.4,1
CUST-00271,21,445.6,9383.71,One Year,No,Credit Card,1,47.0,22.8,0
CUST-00272,1,1019.56,1065.87,Month-to-Month,Fiber Optic,Electronic Check,5,48.0,170.1,1
CUST-00273,11,1098.68,12129.56,One Year,Fiber Optic,Bank Transfer,2,25.0,59.6,1
CUST-00274,69,343.99,24211.62,Month-to-Month,DSL,Mailed Check,8,10.0,107.0,0
CUST-00275,30,978.68,29702.43,Month-to-Month,Fiber Optic,Mailed Check,6,39.0,46.7,1
CUST-00276,35,619.25,21887.55,Month-to-Month,DSL,Mailed Check,8,5.0,104.1,0
CUST-00277,34,883.74,30147.4,Month-to-Month,Fiber Optic,Electronic Check,9,18.0,112.4,1
CUST-00278,57,762.64,43907.3,Month-to-Month,DSL,Mailed Check,8,27.0,68.1,0
CUST-00279,4,533.77,2235.86,Month-to-Month,DSL,Mailed Check,9,44.0,101.2,1
CUST-00280,6,421.7,2883.54,One Year,DSL,Credit Card,8,49.0,81.2,1
CUST-00281,20,405.25,8486.66,Month-to-Month,DSL,Electronic Check,6,41.0,139.5,0
CUST-00282,35,392.99,13901.98,One Year,No,Credit Card,4,24.0,108.8,0
CUST-00283,48,874.01,42204.94,One Year,DSL,Electronic Check,3,4.0,175.6,0
